rid,date_of_service,toc_code,location,planned_arrival_time,planned_departure_time,actual_arrival_time,actual_departure_time,late_canc_reason
202301087622283,2023-01-08,SW,WEY,,07:48:00,,07:48:00,
202301087622283,2023-01-08,SW,UPW,07:52:00,07:52:00,07:51:00,07:52:00,
202301087622283,2023-01-08,SW,DCH,07:59:00,08:00:00,07:59:00,08:01:00,
202301087622283,2023-01-08,SW,MTN,08:07:00,08:07:00,08:06:00,08:09:00,
202301087622283,2023-01-08,SW,WOO,08:12:00,08:13:00,08:14:00,08:16:00,
202301087622283,2023-01-08,SW,WRM,08:19:00,08:20:00,08:20:00,08:22:00,
202301087622283,2023-01-08,SW,HAM,08:26:00,08:27:00,08:27:00,08:28:00,
202301087622283,2023-01-08,SW,POO,08:31:00,08:32:00,08:31:00,08:32:00,
202301087622283,2023-01-08,SW,PKS,08:36:00,08:36:00,08:35:00,08:37:00,
202301087622283,2023-01-08,SW,BSM,08:40:00,08:40:00,08:40:00,08:41:00,
202301087622283,2023-01-08,SW,BMH,08:46:00,08:50:00,08:46:00,08:49:00,
202301087622283,2023-01-08,SW,NWM,09:01:00,09:01:00,08:59:00,09:02:00,
202301087622283,2023-01-08,SW,BCU,09:08:00,09:09:00,09:08:00,09:09:00,
202301087622283,2023-01-08,SW,SOU,09:23:00,09:24:00,09:23:00,09:24:00,
202301087622283,2023-01-08,SW,FRM,09:49:00,09:50:00,09:50:00,09:53:00,
202301087622283,2023-01-08,SW,HAV,10:04:00,10:04:00,10:06:00,10:07:00,
202301087622283,2023-01-08,SW,GLD,10:39:00,10:40:00,10:46:00,10:47:00,
202301087622283,2023-01-08,SW,CLJ,11:12:00,11:13:00,11:18:00,11:20:00,
202301087622283,2023-01-08,SW,WAT,11:26:00,,11:31:00,,
202301087622293,2023-01-08,SW,WEY,,08:48:00,,08:52:00,
202301087622293,2023-01-08,SW,UPW,08:52:00,08:52:00,08:55:00,08:57:00,
202301087622293,2023-01-08,SW,DCH,08:59:00,09:00:00,09:04:00,09:05:00,
202301087622293,2023-01-08,SW,MTN,09:07:00,09:07:00,09:10:00,09:12:00,
202301087622293,2023-01-08,SW,WOO,09:12:00,09:13:00,09:17:00,09:19:00,
202301087622293,2023-01-08,SW,WRM,09:19:00,09:20:00,09:24:00,09:25:00,
202301087622293,2023-01-08,SW,HAM,09:26:00,09:27:00,09:30:00,09:32:00,
202301087622293,2023-01-08,SW,POO,09:31:00,09:32:00,09:34:00,09:36:00,
202301087622293,2023-01-08,SW,PKS,09:36:00,09:36:00,09:38:00,09:40:00,
202301087622293,2023-01-08,SW,BSM,09:40:00,09:40:00,09:43:00,09:44:00,
202301087622293,2023-01-08,SW,BMH,09:46:00,09:50:00,09:50:00,09:52:00,
202301087622293,2023-01-08,SW,NWM,10:01:00,10:01:00,10:02:00,10:04:00,
202301087622293,2023-01-08,SW,BCU,10:08:00,10:09:00,10:11:00,10:12:00,
202301087622293,2023-01-08,SW,SOU,10:23:00,10:24:00,10:25:00,10:27:00,
202301087622293,2023-01-08,SW,FRM,10:49:00,10:50:00,10:55:00,10:58:00,
202301087622293,2023-01-08,SW,HAV,11:04:00,11:04:00,11:10:00,11:12:00,
202301087622293,2023-01-08,SW,GLD,11:39:00,11:40:00,11:47:00,11:50:00,
202301087622293,2023-01-08,SW,CLJ,12:12:00,12:13:00,12:19:00,12:20:00,
202301087622293,2023-01-08,SW,WAT,12:26:00,,12:30:00,,
202301087622301,2023-01-08,SW,WEY,,09:48:00,,09:50:00,
202301087622301,2023-01-08,SW,UPW,09:52:00,09:52:00,09:53:00,09:55:00,
